"Your account will be permanently deleted. Once you delete your account, there is no going back. Please be certain.","Sua conta será excluída permanentemente. Depois de excluir sua conta, não há como voltar atrás. Por favor tenha certeza."
"Something wrong while deleting your account. Please contact the store owner.","Algo errado ao excluir sua conta. Entre em contato com nosso time de suporte."
"Successfully deleted customer address","Endereço do cliente excluído com sucesso"
"You will go to our homepage in 5 seconds.","Você irá para a nossa página inicial em 5 segundos."
"Delete Account","Deletar Conta"
"Delete your account","Deletar sua conta"
"Are you sure you want to delete your account?","Tem certeza que deseja deletar sua conta?"
"Delete Address","Apagar Endereço"
GDPR,GDPR/LGPD
"General Configuration","Configuração Geral"
Enable,Habilitar
"Allow Deleting Customer Account","Permitir exclusão da conta por cliente"
"Message of Deleting","Mensagem de exclusão"
"The message will be shown on Delete Account area. HTML code is allowed.","A mensagem será mostrada na área Excluir conta. O código HTML é permitido."
"Allow Deleting Default Address","Permitir exclusão de endereço padrão"
"Your account has been deleted.","Sua conta foi deletada."